Study,Link (Use DOI or Title if missing),Title,Disease,AlphaDirection,BetaSeparation,KeyTaxa_Enriched,KeyTaxa_Depleted,TaxaExtractionSource,Tags,Notes,InGoldStandard
ZhaiZheng2019,https://pubmed.ncbi.nlm.nih.gov/31306225/,Intestinal microbiota composition in patients with amyotrophic lateral sclerosis: establishment of bacterial and archaeal communities analyses.,Amyotrophic lateral sclerosis (ALS),,,,,Main Text,,,No
BeckerSchmartz2022,https://pubmed.ncbi.nlm.nih.gov/34839011/,"Effects of Resistant Starch on Symptoms, Fecal Markers, and Gut Microbiota in Parkinson's Disease - The RESISTA-PD Trial.",Parkinson’s disease (PD),,,,,Main Text,intervention,,No
GongLiu2019,https://pubmed.ncbi.nlm.nih.gov/31448571/,Alterations in the human gut microbiome in anti-N-methyl-D-aspartate receptor encephalitis.,Other,,,,,Main Text,gradient/subtypes,,No
ZhuMa2022,https://pubmed.ncbi.nlm.nih.gov/36235612/,Altered Gut Microbiota and Its Clinical Relevance in Mild Cognitive Impairment and Alzheimer's Disease: Shanghai Aging Study and Shanghai Memory Study.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
KimSon2022,https://pubmed.ncbi.nlm.nih.gov/35189854/,"Gut- and oral-dysbiosis differentially impact spinal- and bulbar-onset ALS, predicting ALS severity and potentially determining the location of disease onset.",Amyotrophic lateral sclerosis (ALS),,,,,Main Text,,,No
ShengYang2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8843023/,Combination of gut microbiota and plasma amyloid-β as a potential index for identifying preclinical Alzheimer’s disease: a cross-sectional analysis from the SILCODE study,"Alzheimer’s disease (AD), Dementia",,Mixed,Bacteroidetes; Bacteroidia; Bacteroidales,Firmicutes; Clostridia; Clostridiales; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Lachnospiraceae; Faecalibacterium,Main Text,,,Yes
GoreckaMazurKrygowskaWajs2024,https://pubmed.ncbi.nlm.nih.gov/38873926/,Associations between gut microbiota characteristics and non-motor symptoms following pharmacological and surgical treatments in Parkinson's disease patients.,Parkinson’s disease (PD),,,,,Main Text,intervention,,No
ParkChevalier2025,https://pubmed.ncbi.nlm.nih.gov/40953029/,Gut microbiome signatures in iNPH: Insights from a shotgun metagenomics study.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
AshrafDikarlo2024,https://pubmed.ncbi.nlm.nih.gov/39402079/,"Mycobacterium avium subspecies paratuberculosis (MAP) infection, and its impact on gut microbiome of individuals with multiple sclerosis.",Multiple sclerosis (MS),,,,,Main Text,gradient/subtypes;confounding disease,,No
YamashiroTakabayashi2024,https://pubmed.ncbi.nlm.nih.gov/38452948/,Free water in gray matter linked to gut microbiota changes with decreased butyrate producers in Alzheimer's disease and mild cognitive impairment.,Alzheimer’s disease (AD),,,,,Main Text,,,No
UngerSpiegel2016,https://pubmed.ncbi.nlm.nih.gov/27591074/,Short chain fatty acids and gut microbiota differ between patients with Parkinson's disease and age-matched controls.,Parkinson’s disease (PD),,,,,Main Text,,,No
DuanLiu2021,https://pubmed.ncbi.nlm.nih.gov/33869072/,Preoperative Microbiomes and Intestinal Barrier Function Can Differentiate Prodromal Alzheimer's Disease From Normal Neurocognition in Elderly Patients Scheduled to Undergo Orthopedic Surgery.,Alzheimer’s disease (AD),,,,,Main Text,,,No
LvLin2025,https://pubmed.ncbi.nlm.nih.gov/40071377/,Impact of 16S rRNA on Intestinal Flora Alterations and Early Diagnosis in Early Alzheimer's Disease Patients.,Alzheimer’s disease (AD),,,,,Main Text,,,No
ZhangHuang2024,https://pubmed.ncbi.nlm.nih.gov/37307829/,Relationships Between Rapid Eye Movement Sleep Behavior Disorder and Parkinson's Disease: Indication from Gut Microbiota Alterations.,Parkinson’s disease (PD),,,,,Main Text,gradient/subtypes;confounding disease,,No
SaresellaMarventano2020,https://pubmed.ncbi.nlm.nih.gov/32733460/,Alterations in Circulating Fatty Acid Are Associated With Gut Microbiota Dysbiosis and Inflammation in Multiple Sclerosis.,Multiple sclerosis (MS),,,,,Main Text,,,No
AlshinnawyBadiea2025,https://pubmed.ncbi.nlm.nih.gov/40679698/,Decoding the Gut Microbiota in Multiple Sclerosis Using Nanopore Long-Read Sequencing: Insights into Disease Severity and Subtypes.,Multiple sclerosis (MS),,,,,Main Text,gradient/subtypes,,No
BedarfHildebrand2017,https://pubmed.ncbi.nlm.nih.gov/28449715/,Functional implications of microbial and viral gut metagenome changes in early stage L-DOPA-naïve Parkinson's disease patients.,Parkinson’s disease (PD),,,,,Main Text,,,No
ZengJunli2019,https://pubmed.ncbi.nlm.nih.gov/31108132/,Gut dysbiosis and lack of short chain fatty acids in a Chinese cohort of patients with multiple sclerosis.,Multiple sclerosis (MS),,,,,Main Text,,,No
RoutDash2025,https://pubmed.ncbi.nlm.nih.gov/39927883/,Exploring the role of acylated ghrelin and gut microbiome in delineating cognitive health in the elderly,Dementia,No Difference,Yes,Bifidobacterium longum; Lactobacillus ruminis; Blautia producta; Eggerthella lenta; Bacteroides eggerthii; Pyramidobacter piscolens; Veillonella dispar,Prevotella copri; Eubacterium biforme; Faecalibacterium prausnitzii; Blautia obeum,Main Text,,,Yes
FontdevilaPovedano2024,https://pubmed.ncbi.nlm.nih.gov/39379597/,Examining the complex Interplay between gut microbiota abundance and short-chain fatty acid production in amyotrophic lateral sclerosis patients shortly after onset of disease.,Amyotrophic lateral sclerosis (ALS),,,,,Main Text,,,No
PanLi2021,https://pubmed.ncbi.nlm.nih.gov/34869782/,Elderly Patients with Mild Cognitive Impairment Exhibit Altered Gut Microbiota Profiles.,Alzheimer’s disease (AD),,,,,Main Text,,,No
WuJiang2025,https://pubmed.ncbi.nlm.nih.gov/39904582/,Gut microbial profiles of patients with optic neuritis or myasthenia gravis.,Other,,,,,Main Text,,,No
TsaiLai2025,https://pubmed.ncbi.nlm.nih.gov/41298658/,Elevated Lactobacillus salivarius and genus Akkermansia in fecal samples of Taiwanese patients with parkinson's disease and diabetes mellitus.,Parkinson’s disease (PD),,,,,Main Text,gradient/subtypes;confounding disease,,No
HegelmaierLebbing2020,https://pubmed.ncbi.nlm.nih.gov/32041265/,Interventional Influence of the Intestinal Microbiome Through Dietary Intervention and Bowel Cleansing Might Improve Motor Symptoms in Parkinson's Disease.,Parkinson’s disease (PD),,,,,Main Text,intervention,,No
VidalMartinezChin2020,https://pubmed.ncbi.nlm.nih.gov/31561385/,"A Pilot Microbiota Study in Parkinson's Disease Patients versus Control Subjects, and Effects of FTY720 and FTY720-Mitoxy Therapies in Parkinsonian and Multiple System Atrophy Mouse Models.","Multiple system atrophy (MSA), Multiple sclerosis (MS), Parkinson’s disease (PD)",,,,,Main Text,,,No
MiyakeKim2015,https://pubmed.ncbi.nlm.nih.gov/26367776/,"Dysbiosis in the Gut Microbiota of Patients with Multiple Sclerosis, with a Striking Depletion of Species Belonging to Clostridia XIVa and IV Clusters.",Multiple sclerosis (MS),,,,,Main Text,,,No
YangJiang2025,https://pubmed.ncbi.nlm.nih.gov/40947000/,Changes in gut microbiota and plasma metabolites in Parkinson's disease patients with pain as analyzed by 16S rDNA sequencing and LC-MS.,Parkinson’s disease (PD),,,,,Main Text,gradient/subtypes,,No
BauchBaur2025,https://pubmed.ncbi.nlm.nih.gov/40429881/,Prognostic Value of a Multivariate Gut Microbiome Model for Progression from Normal Cognition to Mild Cognitive Impairment Within 4 Years.,Alzheimer’s disease (AD),,,,,Main Text,,,No
WallenDemirkan2022,https://pubmed.ncbi.nlm.nih.gov/36376318/,Metagenomics of Parkinson's disease implicates the gut microbiome in multiple disease mechanisms.,Parkinson’s disease (PD),,,,,Main Text,,,No
NgoRestuadi2020,https://pubmed.ncbi.nlm.nih.gov/32643435/,Progression and survival of patients with motor neuron disease relative to their fecal microbiota.,"Amyotrophic lateral sclerosis (ALS), Alzheimer’s disease (AD), Parkinson’s disease (PD)",,,,,Main Text,,,No
OezguenYalcinkaya2019,https://pubmed.ncbi.nlm.nih.gov/31172918/,Microbiota stratification identifies disease-specific alterations in neuro-Behçet's disease and multiple sclerosis.,Multiple sclerosis (MS),,,,,Main Text,,,No
LiaquatLe2025,https://pubmed.ncbi.nlm.nih.gov/40600491/,APOE4 genotype shapes the role of dietary fibers in cognitive health through gut microbiota changes.,"Alzheimer’s disease (AD), Spinal cord injury (SCI)",,,,,Main Text,,,No
CastilloÁlvarezPérezMatute2021,https://pubmed.ncbi.nlm.nih.gov/34537163/,The influence of interferon β-1b on gut microbiota composition in patients with multiple sclerosis.,Multiple sclerosis (MS),,,,,Main Text,intervention,,No
MekkyWani2022,https://pubmed.ncbi.nlm.nih.gov/35158462/,Molecular characterization of the gut microbiome in egyptian patients with remitting relapsing multiple sclerosis.,Multiple sclerosis (MS),,,,,Main Text,,,No
TankouRegev2018,https://pubmed.ncbi.nlm.nih.gov/29679417/,A probiotic modulates the microbiome and immunity in multiple sclerosis.,Multiple sclerosis (MS),,,,,Main Text,intervention,,No
MolesDelgado2022,https://pubmed.ncbi.nlm.nih.gov/36325343/,Microbial dysbiosis and lack of SCFA production in a Spanish cohort of patients with multiple sclerosis.,Multiple sclerosis (MS),,,,,Main Text,intervention,,No
NitzanStaunRam2023,https://pubmed.ncbi.nlm.nih.gov/37834472/,"Multiple Sclerosis-Associated Gut Microbiome in the Israeli Diverse Populations: Associations with Ethnicity, Gender, Disability Status, Vitamin D Levels, and Mediterranean Diet.",Multiple sclerosis (MS),,,,,Main Text,,,No
ReyndersDevolder2020,https://pubmed.ncbi.nlm.nih.gov/32162850/,Gut microbiome variation is associated to Multiple Sclerosis phenotypic subtypes.,Multiple sclerosis (MS),,,,,Main Text,gradient/subtypes,,No
CantoniLin2022,https://pubmed.ncbi.nlm.nih.gov/35094961/,Alterations of host-gut microbiome interactions in multiple sclerosis.,Multiple sclerosis (MS),,,,,Main Text,,,No
FengTang2025,https://pubmed.ncbi.nlm.nih.gov/39821830/,Landscapes of gut microbiome and blood metabolomic signatures in relapsing remitting multiple sclerosis.,Multiple sclerosis (MS),,,,,Main Text,gradient/subtypes,,No
VenturaIizumi2019,https://pubmed.ncbi.nlm.nih.gov/31705027/,Gut microbiome of treatment-naïve MS patients of different ethnicities early in disease course.,Multiple sclerosis (MS),,,,,Main Text,,,No
JangiGandhi2016,https://pubmed.ncbi.nlm.nih.gov/27352007/,Alterations of the human gut microbiome in multiple sclerosis.,Multiple sclerosis (MS),,,,,Main Text,,,No
KishikawaOgawa2020,https://pubmed.ncbi.nlm.nih.gov/33363050/,A Metagenome-Wide Association Study of Gut Microbiome in Patients With Multiple Sclerosis Revealed Novel Disease Pathology.,Multiple sclerosis (MS),,,,,Main Text,,,No
KongChen2023,https://pubmed.ncbi.nlm.nih.gov/37642736/,Gut microbiota and metabolome in sporadic Creutzfeldt-Jakob disease.,Other,,,,,Main Text,,,No
YangZhao2024,https://pubmed.ncbi.nlm.nih.gov/39478468/,Quantitative proteomics and multi-omics analysis identifies potential biomarkers and the underlying pathological molecular networks in Chinese patients with multiple sclerosis.,Multiple sclerosis (MS),,,,,Main Text,,,No
CreeSpencer2016,https://pubmed.ncbi.nlm.nih.gov/27398819/,Gut microbiome analysis in neuromyelitis optica reveals overabundance of Clostridium perfringens.,Multiple sclerosis (MS),,,,,Main Text,,,No
SajiTsuduki2022,https://pubmed.ncbi.nlm.nih.gov/34952361/,"Relationship between the Japanese-style diet, gut microbiota, and dementia: A cross-sectional study.",Dementia,,,,,Main Text,,,No
SajiSaito2022,https://pubmed.ncbi.nlm.nih.gov/35213381/,"Relationship Between Plasma Lipopolysaccharides, Gut Microbiota, and Dementia: A Cross-Sectional Study.",Dementia,,,,,Main Text,,,No
GongLiu2021,https://pubmed.ncbi.nlm.nih.gov/35046950/,Disturbance of Gut Bacteria and Metabolites Are Associated with Disease Severity and Predict Outcome of NMDAR Encephalitis: A Prospective Case-Control Study.,Other,,,,,Main Text,,,No
StadlbauerEngertsberger2020,https://pubmed.ncbi.nlm.nih.gov/32690030/,"Dysbiosis, gut barrier dysfunction and inflammation in dementia: a pilot study.",Dementia,,,,,Main Text,,,No
CheneyCostello2023,https://pubmed.ncbi.nlm.nih.gov/36639365/,Gut microbiome dysbiosis drives metabolic dysfunction in Familial dysautonomia.,Other,,,,,Main Text,,,No
WeiZhang2022,https://pubmed.ncbi.nlm.nih.gov/35879681/,Gut microbiome changes in anti-N-methyl-D-aspartate receptor encephalitis patients.,Other,,,,,Main Text,,,No
SajiMurotani2019,https://pubmed.ncbi.nlm.nih.gov/31852995/,The relationship between the gut microbiome and mild cognitive impairment in patients without dementia: a cross-sectional study conducted in Japan.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
ShiWang2023,https://pubmed.ncbi.nlm.nih.gov/36795141/,The alteration of intestinal mucosal α-synuclein expression and mucosal microbiota in Parkinson's disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
CirsteaKliger2022,https://pubmed.ncbi.nlm.nih.gov/35275538/,The Oral and Fecal Microbiota in a Canadian Cohort of Alzheimer's Disease.,Alzheimer’s disease (AD),,,,,Main Text,,,No
DilmoreMartino2023,https://pubmed.ncbi.nlm.nih.gov/37017243/,"Effects of a ketogenic and low-fat diet on the human metabolome, microbiome, and foodome in adults at risk for Alzheimer's disease.",Alzheimer’s disease (AD),,,,,Main Text,intervention,,No
WangZhang2024,https://pubmed.ncbi.nlm.nih.gov/39213074/,Characterizing Gut Microbiota in Older Chinese Adults with Cognitive Impairment: A Cross-Sectional Study.,,Decrease,Yes,"Shigella, Acidaminococcus, Synergistes, Pyramidobacter, Alistipes, Pseudomonas, Fusobacterium, Aquabacterium, Stenotrophomonas, Sediminibacterium","Firmicutes, Proteobacteria, Bacteroides",Main Text,,,Yes
YuanTan2024,https://pubmed.ncbi.nlm.nih.gov/38151560/,Air particulate pollution exposure associated with impaired cognition via microbiota gut-brain axis: an evidence from rural elderly female in northwest China.,Dementia,,,,,Main Text,gradient/subtypes,,No
LiangFu2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9661756/,"Gut microbiome, cognitive function and brain structure: a multi-omics integration analysis","Alzheimer’s disease (AD), Dementia",,Yes,Dorea longicatena,Odoribacter; Butyricimonas; Bacteroides,Main Text,,,Yes
ZhangWang2021,https://pubmed.ncbi.nlm.nih.gov/33871591/,"Diet quality, gut microbiota, and microRNAs associated with mild cognitive impairment in middle-aged and elderly Chinese population.",Alzheimer’s disease (AD),,,,,Main Text,,,No
WeiHuang2025,https://pubmed.ncbi.nlm.nih.gov/40888486/,Role of Ruminococcus gnavus in the elderly with cognitive impairment: A case-control study and an animal experiment.,Alzheimer’s disease (AD),,,,,Main Text,,,No
ChenFan2024,https://pubmed.ncbi.nlm.nih.gov/38999809/,Association of Methyl Donor Nutrients' Dietary Intake and Cognitive Impairment in the Elderly Based on the Intestinal Microbiome.,Dementia,,,,,Main Text,,,No
KleeAho2024,https://pubmed.ncbi.nlm.nih.gov/38706292/,Education as Risk Factor of Mild Cognitive Impairment: The Link to the Gut Microbiome.,"Dementia, Parkinson’s disease (PD)",,,,,Main Text,,,No
LiuLv2024,https://pubmed.ncbi.nlm.nih.gov/38211635/,Microbiota-microglia crosstalk between Blautia producta and neuroinflammation of Parkinson's disease: A bench-to-bedside translational approach.,Parkinson’s disease (PD),,,,,Main Text,,,No
ChaudhariJain2023,https://pubmed.ncbi.nlm.nih.gov/37213047/,Unique trans-kingdom microbiome structural and functional signatures predict cognitive decline in older adults.,Dementia,,,,,Main Text,,,No
MarizzoniMirabelli2023,https://pubmed.ncbi.nlm.nih.gov/37254223/,A peripheral signature of Alzheimer's disease featuring microbiota-gut-brain axis markers.,Alzheimer’s disease (AD),,,,,Main Text,gradient/subtypes,,No
NieJing2023,https://pubmed.ncbi.nlm.nih.gov/36995383/,The link between increased Desulfovibrio and disease severity in Parkinson's disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
PellizoniLeite2021,https://pubmed.ncbi.nlm.nih.gov/33925359/,Detection of Dysbiosis and Increased Intestinal Permeability in Brazilian Patients with Relapsing-Remitting Multiple Sclerosis.,Multiple sclerosis (MS),,,,,Main Text,,,No
LiZhu2023,https://pubmed.ncbi.nlm.nih.gov/36931530/,Metagenomic association analysis of cognitive impairment in community-dwelling older adults.,Dementia,,,,,Main Text,gradient/subtypes,,No
GongBa2022,https://pubmed.ncbi.nlm.nih.gov/36814376/,Gut microbiota links with cognitive impairment in amyotrophic lateral sclerosis: A multi-omics study.,Amyotrophic lateral sclerosis (ALS),,,,,Main Text,,,No
NiccolaiDi2021,https://pubmed.ncbi.nlm.nih.gov/34209688/,The Gut Microbiota-Immunity Axis in ALS: A Role in Deciphering Disease Heterogeneity?,Amyotrophic lateral sclerosis (ALS),,,,,Main Text,,,No
PavanGorthi2023,https://pubmed.ncbi.nlm.nih.gov/38229613/,Dysbiosis of the Beneficial Gut Bacteria in Patients with Parkinson's Disease from India.,Parkinson’s disease (PD),,,,,Main Text,,,No
DonaldsonFyfe2025,https://pubmed.ncbi.nlm.nih.gov/40126287/,Aging Gut-Brain Interactions: Pro-Inflammatory Gut Bacteria Are Elevated in Fecal Samples from Individuals Living with Alzheimer's Dementia.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
WanZhou2019,https://pubmed.ncbi.nlm.nih.gov/31680836/,Alterations of the Gut Microbiota in Multiple System Atrophy Patients.,Multiple system atrophy (MSA),,,,,Main Text,,,No
GalluzzoCapri2021,https://pubmed.ncbi.nlm.nih.gov/34206853/,Comparison of the Intestinal Microbiome of Italian Patients with Multiple Sclerosis and Their Household Relatives.,Multiple sclerosis (MS),,,,,Main Text,,,No
BedarfRomano2025,https://pubmed.ncbi.nlm.nih.gov/40180909/,A prebiotic dietary pilot intervention restores faecal metabolites and may be neuroprotective in Parkinson's Disease.,Parkinson’s disease (PD),,,,,Main Text,intervention,,No
StormLarsenMyhr2019,https://pubmed.ncbi.nlm.nih.gov/31798939/,Gut microbiota composition during a 12-week intervention with delayed-release dimethyl fumarate in multiple sclerosis - a pilot trial.,Multiple sclerosis (MS),,,,,Main Text,intervention,,No
FangWang2016,https://pubmed.ncbi.nlm.nih.gov/27703453/,Evaluation of the Microbial Diversity in Amyotrophic Lateral Sclerosis Using High-Throughput Sequencing.,Amyotrophic lateral sclerosis (ALS),Not Reported,Not reported,Bacteroidetes; Dorea,Firmicutes; oscillibacter; anaerostipes; lachnospiraceae,Main Text,,,Yes
RenGao2020,https://pubmed.ncbi.nlm.nih.gov/32161568/,Gut Microbiota Altered in Mild Cognitive Impairment Compared With Normal Cognition in Sporadic Parkinson's Disease.,Parkinson’s disease (PD),Increase,Yes,Blautia; Ruminococcus; Alistipes; Barnesiella; Butyricimonas; Odoribacter,Veillonella; Bacteroidetes,Main Text,gradient/subtypes,,No
ParaschivVacaras2024,https://pubmed.ncbi.nlm.nih.gov/38638559/,The effect of multiple sclerosis therapy on gut microbiota dysbiosis: a longitudinal prospective study.,Multiple sclerosis (MS),No Difference,No,Prevotella stercorea; Bacteroidales,Faecalibacterium; Bifidobacterium; Coprococcus; Lachnospiraceae,Main Text,,,Yes
LingZhu2020,https://pubmed.ncbi.nlm.nih.gov/33614635/,Structural and Functional Dysbiosis of Fecal Microbiota in Chinese Patients With Alzheimer's Disease.,Alzheimer’s disease (AD),Decrease,Not reported,,,Main Text,,,No
ZapalaStefura2021,https://doi.org/10.3390/jcm10235698,Differences in the Composition of Gut Microbiota between Patients with Parkinson’s Disease and Healthy Controls: A Cohort Study,Parkinson’s disease (PD),Increase,Yes,Parabacteroides merdae; Bacteroides massiliensis; Ruminococcus gauvreauii; Parabacteroides distasonis; Streptococcus mutans; Acidaminobacter hydrogenformans; Flavonifractor plautii; Clostridium hethewayi; Bilophila wadsworthia; Clostridium thermosuccinogenes,Eubacterium ramulus; Anaerostipes butyraticus; Megamonas funiformis; Balutia faecis; Bifidobacterium longum,Main Text,,,Yes
HerediaMateo2025,https://pubmed.ncbi.nlm.nih.gov/40612463/,Dataset on neuropsychological profile and microbiota composition in cognitively unimpaired elderly and Alzheimer's patients.,Alzheimer’s disease (AD),,,,,Main Text,,,No
VascellariPalmas2020,https://pubmed.ncbi.nlm.nih.gov/32934117/,Gut Microbiota and Metabolome Alterations Associated with Parkinson's Disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
NishiwakiUeyama2022,https://pubmed.ncbi.nlm.nih.gov/36494405/,Gut microbiota in dementia with Lewy bodies.,"Dementia, Alzheimer’s disease (AD), Parkinson’s disease (PD)",,,,,Main Text,,,No
CabreraCarrión2025,https://pubmed.ncbi.nlm.nih.gov/41029837/,"Gut microbiota characterization in ageing, mild cognitive impairment, and Alzheimer's disease in the context of mediterranean lifestyle in a Spanish population.","Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
WasserMercieca2020,https://pubmed.ncbi.nlm.nih.gov/33005892/,"Gut dysbiosis in Huntington's disease: associations among gut microbiota, cognitive performance and clinical outcomes.",Huntington’s disease (HD),,,,,Main Text,,,No
CerroniPietrucci2022,https://pubmed.ncbi.nlm.nih.gov/35741624/,Not just a Snapshot: An Italian Longitudinal Evaluation of Stability of Gut Microbiota Findings in Parkinson's Disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
HouXu2021,https://pubmed.ncbi.nlm.nih.gov/33732104/,APOE-ε4 Carrier Status and Gut Microbiota Dysbiosis in Patients With Alzheimer Disease.,Alzheimer’s disease (AD),,,,,Main Text,,,No
FanLin2023,https://pubmed.ncbi.nlm.nih.gov/37346147/,Altered gut microbiota in older adults with mild cognitive impairment: a case-control study.,Alzheimer’s disease (AD),,,,,Main Text,,,No
KazenUmfleet2025,https://pubmed.ncbi.nlm.nih.gov/40563710/,Gut Microbiota and Neurovascular Patterns in Amnestic Mild Cognitive Impairment.,"Alzheimer’s disease (AD), Stroke",,,,,Main Text,,,No
JacobRout2025,https://pubmed.ncbi.nlm.nih.gov/41117133/,Gut microbiome differences in Parkinson's disease patients in Central Kerala population.,Parkinson’s disease (PD),,,,,Main Text,,,No
NeklesovaSogomonyan2025,https://pubmed.ncbi.nlm.nih.gov/40868061/,Gut Microbiome Signatures in Multiple Sclerosis: A Case-Control Study with Machine Learning and Global Data Integration.,Multiple sclerosis (MS),,,,,Main Text,,,No
JinLi2019,https://pubmed.ncbi.nlm.nih.gov/31824239/,Analysis of the Gut Microflora in Patients With Parkinson's Disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
LiCui2019,https://doi.org/10.3389/fnmol.2019.00171,Gut Microbiota Differs Between Parkinson’s Disease Patients and Healthy Controls in Northeast China,Parkinson’s disease (PD),Increase,Yes,Akkermansia (q<0.05; LEfSe LDA≥4),Bacilli (q<0.05; class); Lactobacillales (q<0.05); Lactobacillaceae (q<0.05); Lactobacillus (q<0.05; LEfSe LDA≥4).,Main Text,,,Yes
WeisSchwiertz2019,https://pubmed.ncbi.nlm.nih.gov/31815177/,Effect of Parkinson's disease and related medications on the composition of the fecal bacterial microbiota.,Parkinson’s disease (PD),,,,,Main Text,intervention,,No
CosmaGrigorovMeixner2020,https://pubmed.ncbi.nlm.nih.gov/33071933/,Changes in Gastrointestinal Microbiome Composition in PD: A Pivotal Role of Covariates.,Parkinson’s disease (PD),,,,,Main Text,gradient/subtypes,,No
ChenBi2021,https://pubmed.ncbi.nlm.nih.gov/35035709/,An analysis of the characteristics of the intestinal flora in patients with Parkinson's disease complicated with constipation.,Parkinson’s disease (PD),,,,,Main Text,confounding disease,,No
CoufalZakostelska2025,https://pubmed.ncbi.nlm.nih.gov/41358150/,Ocrelizumab transiently alters microbiota and modulates immune response depending on treatment outcome.,Multiple sclerosis (MS),,,,,Main Text,intervention,,No
StaunRamVolkowich2025,https://pubmed.ncbi.nlm.nih.gov/40092554/,Immunotherapy-mediated modulation of the gut microbiota in multiple sclerosis and associations with diet and clinical response-the effect of dimethyl fumarate therapy.,Multiple sclerosis (MS),No Difference,Differing B/w Subgroups,,Lachnospiraceae; Prevotella,Main Text,intervention,"Beta diversity only differed significantly between treatment and HC, not between pre-treatment and treatment or pre-treatment and HC.",No
TrociPhilippen2024,https://doi.org/10.1093/pnasnexus/pgad427,Disease- and stage-specific alterations of the oral and fecal microbiota in Alzheimer’s disease,Alzheimer’s disease (AD),No Difference,Yes,Bacteroides (FDR < 0.05); Sutterella (FDR < 0.05); Porphyromonadaceae uncl. (FDR < 0.05); Parabacteroides; Akkermansia (FDR < 0.05); Fusobacterium; Veillonella; Actinobacillus; Neisseria (FDR < 0.05),Lachnospiraceae (FDR < 0.05); Roseburia (FDR < 0.05); Coprobacter (FDR < 0.05); Ruminococcus (FDR < 0.05). MCI > Ctrl: ↑ Bacteroides; Dialister; Butyricimonas (FDR < 0.05). Oral (AD > Ctrl): ↑ Porphyromonas; Rothia; Gemella (FDR < 0.05).,Main Text,,,Yes
RouskasMamalaki2025,https://pubmed.ncbi.nlm.nih.gov/41011443/,Gut Microbiome Alterations in Mild Cognitive Impairment: Findings from the ALBION Greek Cohort.,"Alzheimer’s disease (AD), Dementia",No Difference,No,"Candidatus Soleaferrea (q=0.027, FDR < 0.05); Hydrogenoanaerobacterium (log2FC=7.56); UBA1819 (log2FC=1.75)","Sellimonas (q=0.017, FDR < 0.05); UCG_011 (log2FC=−8.15); CAG_352 (log2FC=−5.77)",Main Text,,,Yes
HeSheng2023,https://pubmed.ncbi.nlm.nih.gov/37520126/,Alterations of gut microbiota are associated with brain structural changes in the spectrum of Alzheimer's disease: the SILCODE study in Hainan cohort.,Alzheimer’s disease (AD),No Difference,No,Rikenellaceae (LDA=3.65); Odoribacteraceae (LDA=3.06); Mediterraneibacter (LDA=3.18); Alistipes (LDA=3.65),Lachnospiraceae (LDA = 4.64); Lachnospiracea_incertae_sedis (LDA = 3.40); Fusicatenibacter (LDA = 3.29); Anaerobutyricum (LDA = 2.69),Main Text,,,Yes
ChoileáinKleinewietfeld2020,https://pubmed.ncbi.nlm.nih.gov/32743517/,CXCR3+ T cells in multiple sclerosis correlate with reduced diversity of the gut microbiome.,Multiple sclerosis (MS),Decrease,Yes,Bacteroidetes,Coprococcus; Clostridium; Ruminococcaceae,Main Text,,"Beta diversity was significantly different for unweighted UniFrac, but not for weighted UniFrac. Also, Country is undeclared as far as I can tell. Likely USA based on the authors affiliations.",Yes
SinghFestari2025,https://pubmed.ncbi.nlm.nih.gov/40144018/,Association between cognitive functioning and microbiota-gut-brain axis mediators in a memory clinic population.,"Alzheimer’s disease (AD), Dementia",Not Reported,Not reported,Bifidobacterium; Dialister; Clostridia_UCG-014 (Alzheimers CI) and Bifidobacterium; Dialister; Collinsella (Non-Alzheimers CI),Acetonema; Moryella; Blautia (Alzheimers CI) and Acetonema; Lachnospiraceae ND3007; Ruminococcus gnavus; Oscillobacter (Non-Alzheimers CI),Main Text,gradient/subtypes,,No
IlieVăcăreanTrandafir2025,https://pubmed.ncbi.nlm.nih.gov/41245833/,Exploring gut microbiota alterations in Parkinson's disease: insights from a 16S amplicon sequencing Eastern European pilot study.,Parkinson’s disease (PD),No Difference,No,Blautia; Mogibacterium; Rikenellaceae RC9,Lachnospiraceae UCG-001 (p<0.0156); Fusicatenibacter; Butyricicoccus; Anaerostipes; Erysipelotrichaceae UCG-003; Tyzzerella,Main Text,,,Yes
BoertienMurtomäki2022,https://pubmed.ncbi.nlm.nih.gov/36216843/,Fecal microbiome alterations in treatment-naive de novo Parkinson's disease.,Parkinson’s disease (PD),Increase,Yes,Rikenellaceae RC9 gut group (Netherlands),Clostridia UCG-014 (Netherlands); Roseburia (both countries); Lachnospiraceae GCA-900066575 (Finland),Main Text,,"Alpha diversity was higher in PD patients from Netherlands, but lower in PD patients from Finland, compared to healthy controls. Conflicting differential taxa between ANCOM and DESeq2 analyses.",No
